,Unnamed: 0,cause,effect,explanation,Cause:Effect,Cause+Truth:Effect,Cause:Truth+Effect
0,0,The woman gave birth to a child.,The child brought psycho-physical phenomena on a new life.,The birth of a child leads to new psychological and physical experiences due to changes in hormones and lifestyle.,0.03175075012759334,0.03195820387073052,0.05310120123609316
1,1,Otters enter their new habitat.,Otters start looking for abalone for food.,Abalone is a preferred food source for otters due to its high nutritional value and availability in their habitat.,0.0913148648845906,0.05962821671541241,0.07290681409729428
2,2,Lila loves classification of her things.,Lila can find what she wants quickly.,Classification helps Lila to organize her things and retrieve them quickly.,0.0015233173108813378,0.0013905796041023951,0.003868301608178453
3,3,She has been vaccined.,The chance she gets flu becomes smaller.,Vaccines create immunity.,8.526057764041347e-05,0.14239592087216763,0.0030612254411735342
4,4,The worker fremented some sugar cane with yeast.,He got some rum.,Yeast consumes sugar and produces alcohol (fermentation).,0.04585250519477891,0.062470582980169526,0.09353466515434289
5,5,Grande opened the drawers.,He saw his old clothing.,Grande is looking through his old clothing that he had stored in the drawers.,0.006609273642106183,0.010692300264335782,0.008276019182550469
6,6,He wants to travel the Sahara desert.,He will not withstand the dry climate there.,"The Sahara desert has an extremely arid climate with little to no rainfall, leading to extreme dehydration.",0.016042909178707772,0.04140815300396362,0.07480516726112106
7,7,Black pulled out his eyelashes for beauty.,Black's sweat always drips into his eyes.,Black has Trichotillomania and Hyperhidrosis.,0.009641437913437231,0.035033029773938136,1.0471599757540373
8,8,There are many obstacles on the track.,Racing drivers will encounter common dangers from time to time.,Obstacles on the track are intentional or accidental and make the race exciting and challenging for the drivers.,0.02216202554420888,0.03375342361667083,0.019948560706911967
9,9,The bar wants to devise some tests.,The bar asks a businessman for help.,To ensure the reliability and efficiency of the staff at the bar.,0.0025151939619916103,0.008074287616977122,0.003039462770468759
10,10,Lily has taken some sulfonamedes to make hemolysis.,The medicine didn't work.,"Hemolysis requires hemoglobin, not sulfonamides.",0.015179068928793024,0.018100433194782755,0.016608072960172863
11,11,No energy is available for the dying plant anymore.,It cannot produce oxygen.,The plant lacks proper photosynthesis due to insufficient sunlight or water.,0.039099855527236556,0.048892437365143995,0.1024650128699858
12,12,Tom has good eyesight.,Tom found the poisonous snake in time.,Tom's good eyesight enabled him to find the poisonous snake in time.,0.014996345651138167,0.058069311545452335,0.01523102628110093
13,13,Tom wants to know more about production.,Tom set out to go to the dense regions.,Reason unknown.,0.025637747898954184,0.021981446305396744,0.02331781011059854
14,14,The zoologist made an observation of the jaguar's habits.,He observed tracks on the ground where the jaguar had moved its all tour legs.,"Jaguars move all their legs to walk, run, and climb.",0.01717120180562402,0.02520563061980354,0.015582309591981884
15,15,Lucy has established a community to help those homeless children.,Many of her friends join in the warm-hearted family.,Lucy's passion and actions inspire her friends to help support her cause.,0.04076668795729034,0.031582022999345115,0.045498654414223634
16,16,The abuse of nuclear power is terrifying.,Scientists avoid great impact of atoms.,Nuclear power has potential for catastrophic consequences if misused or mishandled.,0.03112758013016776,0.038661533221045936,0.04604178439720405
17,17,Mr. Howard was going to hiking who had a big bag on his back.,"As he walked, he felt much heavier than before.",The weight of the big bag on his back made him feel heavier.,0.0114950938095706,0.015119673676733185,0.026469058392536517
18,18,He observed the process from germination of seeds to eventually maturation of plants.,He obserevd the growth of the embryo inside the seed at first.,To study the whole plant life cycle.,0.07926678146475061,0.09465682229266431,0.07356816905075593
19,19,The financial crisis left many people homeless.,"After the financial crisis, the suicide rate increased significantly.",Loss of home and financial security led to hopelessness and despair.,0.039131629382518074,0.03927337659373375,0.06294843858344969
20,20,The two competitors became friends of reciprocity.,They often exchange their own privileges.,Mutual benefit and trust fostered a relationship based on reciprocity between the competitors.,0.004258354784379709,0.008740596546053702,0.02892343284818526
21,21,Mary read some papers.,She knew lots of details.,"Mary may have studied, researched or had previous knowledge on the subject.",0.007992156226616101,0.006657134169810869,0.012557360076683278
22,22,Sam wished to eat stew for supper.,Sam's wife went to buy some meat.,Sam's wife went to buy meat for stew.,0.059151886610841024,0.05246981204150248,0.07886918214778785
23,23,It's half way through autumn.,It rains more in half autumn than in spring and summer combined.,"Fallen leaves and cooler temperatures increase moisture in the air, leading to more frequent rainfall.",0.04146087982278091,0.06078179198770519,0.039063627830459774
24,24,The major planets interact.,There is gravity among the planets.,Gravity is a fundamental force of attraction between any two masses in the universe.,0.07030964635759719,0.05899979838613384,0.07157353215273812
25,25,Tom has a civet.,The civet eats the fish quickly.,The civet's eating habits are naturally fast.,0.005131274909774523,0.015741119266739934,0.005241045665431227
26,26,Alice likes the smell of milk.,She always eats cakes with a lot of cream.,Alice enjoys the taste of dairy products which contain milk.,0.035715916177826476,0.056474809087469324,0.11451063673435415
27,27,Jack wanted to know why Quasars drown out the light from all the other stars in the same galaxy.,He looked it up and found out that it was because they were so bright.,Quasars are extremely bright and overpower the light of other stars in the same galaxy.,0.024740312342378,0.0265490449240936,0.2319662506368936
28,28,Simon's mother often let Simon eat soys.,Simon grows healthy.,Soy is a nutritious food that promotes good health.,0.03543278427194688,0.05101060144994866,0.09665530121621511
29,29,A factory produces several tons of tissues from straws.,The quality of these tissues is different.,The quality of the tissues depends on the quality of the straws used in production.,0.0029675246904574534,0.005690003744213055,0.004298799626172005
30,30,Jack added nitrites into the water.,The catfish died earlier than the scalefish in the water.,Nitrites are toxic to fish. Catfish are more sensitive to nitrites than scalefish.,0.015489272158712222,0.014630145373917524,0.0368961415436446
31,31,His action led to the movement of the wheels.,The machine was set in motion.,"The action provided the force needed to move the machine's wheels, initiating motion.",0.028412480102118325,0.04547541329331266,0.03350345165416259
32,32,Jack's interest is to study human species.,He decides to choose anthropology as his major in college.,"Jack is interested in studying human species, which is the subject matter of anthropology.",0.046256054179629406,0.062421852846588397,0.040721787796740995
33,33,Father of our religion combined a union of opposite tenets.,His action of syncretism was praised.,Syncretism created a cohesive belief system.,0.07006684983923298,0.08149519671028244,0.12820738728059983
34,34,Various features show that this is a dicot in the family Piperaceae.,Researchers suspected it is a peperomia.,Piperaceae is a dicot family to which Peperomia belongs.,0.009017968940568739,0.00923000390982711,0.005193609426122183
35,35,Tom has measured the magnetism of the material.,It is 15 gammas.,Insufficient information to explain the reason for magnetism of the material.,0.013036655634921927,0.016073332771102653,0.020484514940620827
36,36,Tom studied the types of polypropylene.,He found that they came in two types.,Polypropylene comes in two types due to the difference in the orientation of its structural units.,0.002967176661891814,0.00427385850482118,0.013042679361003864
37,37,The source of the mud was investigated.,It was reported that the soil source was very rich.,The soil source was rich because of the presence of valuable organic matter and nutrients.,0.027807040484179982,0.05535283314800519,0.030640807215516094
38,38,The student feel anxious to take the exam.,Her teacher gave her a warm smile.,The teacher wanted to reassure and encourage the student.,0.05162881643335977,0.05054448709285637,0.07452198416280746
39,39,This charity donates money to Asian areas with famine.,Some people western india were helped.,Charity helped western India due to famine in Asian areas.,0.03477747324294414,0.0416073461406198,0.06907097554649082
40,40,The state began to crack down on competitive economic activities in an all-round way.,The state has launched a policy of collusion.,To assert control over the economy and maintain stability.,0.03882666483606296,0.03981678229007083,0.055508129058334896
41,41,Tom improved his learning efficiency today.,He finished all his homework ahead of schedule.,Tom improved his time management skills.,0.025290376265732734,0.03534939635114951,0.04492678703145596
42,42,Tom wants to eat watermelon.,Tom cut the rind of the watermelon.,The rind is tough and not edible.,0.153960343378905,0.1621181552590938,0.18589616691144806
43,43,Tom give the circuit voltage.,Tom has observed charge movement.,"I'm sorry, but I need more context to properly answer this question. What is the circuit made of? Can you provide more details about Tom's observations?",0.024227973693144705,0.02378558063837167,0.0355729215443864
44,44,This child caught roseola.,The child had a fever which followed by a rash.,"Roseola is caused by a virus, which results in a fever followed by a rash.",0.04023143974166516,0.035048333907438375,0.04218634658285725
