,Unnamed: 0,cause,effect,explanation,Cause:Effect,Cause+Truth:Effect,Cause:Truth+Effect
0,0,The woman gave birth to a child.,The child brought psycho-physical phenomena on a new life.,The child's birth altered the emotional and physical balance of the family.,0.03175075012759334,0.04929456115091851,0.05576229234827496
1,1,Otters enter their new habitat.,Otters start looking for abalone for food.,"Otters need abalone for their diet, so they are searching for food.",0.0913148648845906,0.13429541064842337,0.07662870966219472
2,2,Lila loves classification of her things.,Lila can find what she wants quickly.,"Classification allows Lila to organize her things, helping her easily find what she needs.",0.0015233173108813378,0.0023661824696697585,0.005528109148833171
3,3,She has been vaccined.,The chance she gets flu becomes smaller.,Vaccines introduce antibodies that help fight off the flu virus.,8.526057764041347e-05,0.025892497420123374,0.0058317333167601185
4,4,The worker fremented some sugar cane with yeast.,He got some rum.,"Yeasts convert sugar from sugar cane into alcohol, creating rum.",0.04585250519477891,0.06211634644945815,0.14946511875759155
5,5,Grande opened the drawers.,He saw his old clothing.,Grande had stored old clothing in the drawers for future use.,0.006609273642106183,0.008278501269395114,0.0143811672427207
6,6,He wants to travel the Sahara desert.,He will not withstand the dry climate there.,The dry climate in the Sahara desert is too extreme for him to endure.,0.016042909178707772,0.026812358401634474,0.06122224661064756
7,7,Black pulled out his eyelashes for beauty.,Black's sweat always drips into his eyes.,"His pores are open as he pulls out his eyelashes, causing sweat to run into his eyes.",0.009641437913437231,0.009367675232301614,0.009889984691465865
8,8,There are many obstacles on the track.,Racing drivers will encounter common dangers from time to time.,"The track is always changing, and hazards can come up quickly.",0.02216202554420888,0.01981438498467523,0.013069571410644212
9,9,The bar wants to devise some tests.,The bar asks a businessman for help.,"The businessman has experience with tests, and can help the bar create effective ones.",0.0025151939619916103,0.012623968501535899,0.0031008251717969866
10,10,Lily has taken some sulfonamedes to make hemolysis.,The medicine didn't work.,Sulfonamides are not effective against hemolysis.,0.015179068928793024,0.013348022552135503,0.01403460654240456
11,11,No energy is available for the dying plant anymore.,It cannot produce oxygen.,The plant is unable to photosynthesize due to lack of energy.,0.039099855527236556,0.04117712158804851,0.0397398708043881
12,12,Tom has good eyesight.,Tom found the poisonous snake in time.,Tom has keen awareness so he noticed the snake immediately.,0.014996345651138167,0.038954298673041204,0.018237850482438783
13,13,Tom wants to know more about production.,Tom set out to go to the dense regions.,Tom wants to learn from experienced producers in areas with high production density.,0.025637747898954184,0.04443707694676963,0.04242709988145693
14,14,The zoologist made an observation of the jaguar's habits.,He observed tracks on the ground where the jaguar had moved its all tour legs.,The jaguar was making its way to a new location.,0.01717120180562402,0.036538047423298185,0.018051012699723736
15,15,Lucy has established a community to help those homeless children.,Many of her friends join in the warm-hearted family.,Lucy's friends want to help the homeless children and be part of the warm-hearted family.,0.04076668795729034,0.04025617703776377,0.04065823300569899
16,16,The abuse of nuclear power is terrifying.,Scientists avoid great impact of atoms.,Nuclear power carries the potential for catastrophic destruction if mismanaged.,0.03112758013016776,0.04209282343921295,0.040101384171817
17,17,Mr. Howard was going to hiking who had a big bag on his back.,"As he walked, he felt much heavier than before.","The bag was filled with supplies and equipment for the hike, making it much heavier than before.",0.0114950938095706,0.008923696190899933,0.02271485793986557
18,18,He observed the process from germination of seeds to eventually maturation of plants.,He obserevd the growth of the embryo inside the seed at first.,"The embryo is the growing plant inside the seed, thus it is the first stage in germination.",0.07926678146475061,0.11509648675679082,0.06699994238862786
19,19,The financial crisis left many people homeless.,"After the financial crisis, the suicide rate increased significantly.","The loss of income and homes resulted in stress and despair, leading to higher suicide rates.",0.039131629382518074,0.05254021722745405,0.058454216840544
20,20,The two competitors became friends of reciprocity.,They often exchange their own privileges.,Their mutual respect and understanding led to a friendship based on reciprocity.,0.004258354784379709,0.010460237223255101,0.036024637170622244
21,21,Mary read some papers.,She knew lots of details.,She had studied the papers carefully.,0.007992156226616101,0.006274467267145402,0.007539389208128623
22,22,Sam wished to eat stew for supper.,Sam's wife went to buy some meat.,She needed to buy the meat to make the stew.,0.059151886610841024,0.054676768015450315,0.07234280816504221
