,Unnamed: 0,cause,effect,explanation,Cause:Effect,Cause+Truth:Effect,Cause:Truth+Effect
0,0,The woman gave birth to a child.,The child brought psycho-physical phenomena on a new life.,Childbirth brings psycho-physical phenomena.,0.03175075012759334,0.026262496793561078,0.10591392959399909
1,1,Otters enter their new habitat.,Otters start looking for abalone for food.,Abalone are one of the first food items taken by otters as they enter new habitat.,0.0913148648845906,0.05788005249673652,0.07137351618207576
2,2,Lila loves classification of her things.,Lila can find what she wants quickly.,Classifications yield accuracy.,0.0015233173108813378,0.00046341356828095217,0.0029721313406230357
3,3,She has been vaccined.,The chance she gets flu becomes smaller.,Vaccines reduce the chance of getting flu.,8.526057764041347e-05,0.004935986739106063,0.0027805181849034897
4,4,The worker fremented some sugar cane with yeast.,He got some rum.,Rum is the product of the fermentation of sugar cane with yeast.,0.04585250519477891,0.04849250073574546,0.18578250968426788
5,5,Grande opened the drawers.,He saw his old clothing.,Drawers have clothing.,0.006609273642106183,0.0046684743256379495,0.013751536061465086
6,6,He wants to travel the Sahara desert.,He will not withstand the dry climate there.,Deserts have dry climates.,0.016042909178707772,0.016307068666750177,0.019344098472932073
7,7,Black pulled out his eyelashes for beauty.,Black's sweat always drips into his eyes.,Eyelashes also keep sweat out of the eye.,0.009641437913437231,0.010584199443495515,0.026405375123790032
8,8,There are many obstacles on the track.,Racing drivers will encounter common dangers from time to time.,Drives encounter common dangers.,0.02216202554420888,0.02356820089908849,0.01763126005683987
9,9,The bar wants to devise some tests.,The bar asks a businessman for help.,Businessmen conduct tests.,0.0025151939619916103,0.004210729345554744,0.004575717410411273
10,10,Lily has taken some sulfonamedes to make hemolysis.,The medicine didn't work.,Sulfonamedes interfere with hemolysis.,0.015179068928793024,0.013706745859897852,0.015699262639226105
11,11,No energy is available for the dying plant anymore.,It cannot produce oxygen.,Oxygen is generated by plants.,0.039099855527236556,0.03416392131653079,0.04962889294467556
12,12,Tom has good eyesight.,Tom found the poisonous snake in time.,Eyesights help detect danger.,0.014996345651138167,0.030346204907459408,0.016841215236375683
13,13,Tom wants to know more about production.,Tom set out to go to the dense regions.,Production occurs in dense regions.,0.025637747898954184,0.025149738678094592,0.027457188837441616
14,14,The zoologist made an observation of the jaguar's habits.,He observed tracks on the ground where the jaguar had moved its all tour legs.,Jaguars spend a lot of time on the ground moving all tour legs.,0.01717120180562402,0.03952526437784375,0.020373719918038803
15,15,Lucy has established a community to help those homeless children.,Many of her friends join in the warm-hearted family.,Cliques are relationships of mutual affection between people.,0.04076668795729034,0.02773365802874865,0.049006284295094335
16,16,The abuse of nuclear power is terrifying.,Scientists avoid great impact of atoms.,Nuclear power has great impact.,0.03112758013016776,0.040392333200974816,0.03670329193726739
17,17,Mr. Howard was going to hiking who had a big bag on his back.,"As he walked, he felt much heavier than before.",Bags add weight.,0.0114950938095706,0.009798398030703445,0.012823900365974375
18,18,He observed the process from germination of seeds to eventually maturation of plants.,He obserevd the growth of the embryo inside the seed at first.,Germination is the growth of the embryo inside the seed.,0.07926678146475061,0.0731143978677814,0.07862180355338091
19,19,The financial crisis left many people homeless.,"After the financial crisis, the suicide rate increased significantly.",Homelessness is associated with suicide.,0.039131629382518074,0.035672637983604,0.15295233576288042
20,20,The two competitors became friends of reciprocity.,They often exchange their own privileges.,Reciprocity is the act of swapping privileges.,0.004258354784379709,0.003789972338431273,0.008008074284139499
21,21,Mary read some papers.,She knew lots of details.,Paper contains details.,0.007992156226616101,0.007496991081991572,0.015443084988277001
22,22,Sam wished to eat stew for supper.,Sam's wife went to buy some meat.,Stew is made of meat.,0.059151886610841024,0.0536742864377789,0.05770012558157681
23,23,It's half way through autumn.,It rains more in half autumn than in spring and summer combined.,Autumn is a warm wet season.,0.04146087982278091,0.050241716602800905,0.04138645628530833
24,24,The major planets interact.,There is gravity among the planets.,Gravity is a property of the universe itself.,0.07030964635759719,0.05707959818725392,0.10243026385778968
25,25,Tom has a civet.,The civet eats the fish quickly.,Civets consume prey.,0.005131274909774523,0.02012147796401383,0.006638328104748706
26,26,Alice likes the smell of milk.,She always eats cakes with a lot of cream.,Cakes contain cream.,0.035715916177826476,0.016872763664245515,0.03574171278994221
27,27,Jack wanted to know why Quasars drown out the light from all the other stars in the same galaxy.,He looked it up and found out that it was because they were so bright.,Quasars are so bright they drown out the light from all the other stars in the same galaxy.,0.024740312342378,0.025349302729575134,0.21805589310012402
28,28,Simon's mother often let Simon eat soys.,Simon grows healthy.,Soy offers health benefits.,0.03543278427194688,0.03388275331345775,0.04723818059781333
29,29,A factory produces several tons of tissues from straws.,The quality of these tissues is different.,Straw produces tissue.,0.0029675246904574534,0.0034067226669303704,0.006918179931357817
30,30,Jack added nitrites into the water.,The catfish died earlier than the scalefish in the water.,Nitrites are more toxic to catfish than scalefish.,0.015489272158712222,0.01158716137605895,0.03504455810192362
31,31,His action led to the movement of the wheels.,The machine was set in motion.,Wheels require motion.,0.028412480102118325,0.03420864849212982,0.027821483547273068
32,32,Jack's interest is to study human species.,He decides to choose anthropology as his major in college.,Anthropology is the study of the human species.,0.046256054179629406,0.058512779673331995,0.062209727297557936
33,33,Father of our religion combined a union of opposite tenets.,His action of syncretism was praised.,Syn Syncretism is the union of the opposite tenets.,0.07006684983923298,0.05065717053072937,0.08643980478941467
34,34,Various features show that this is a dicot in the family Piperaceae.,Researchers suspected it is a peperomia.,Peperomia is a dicot in the family piperaceae.,0.009017968940568739,0.008662417749185324,0.005385276094240592
35,35,Tom has measured the magnetism of the material.,It is 15 gammas.,Gammas measure magnetism.,0.013036655634921927,0.010265019330933997,0.016550722486711886
36,36,Tom studied the types of polypropylene.,He found that they came in two types.,Polypropylene comes in two types.,0.002967176661891814,0.0023673511404583686,0.007841473346836563
37,37,The source of the mud was investigated.,It was reported that the soil source was very rich.,Mud comes from rich environments.,0.027807040484179982,0.025637191536774188,0.02415296921364845
38,38,The student feel anxious to take the exam.,Her teacher gave her a warm smile.,Smiling can involve smiles.,0.05162881643335977,0.03785909258182847,0.05232500986778352
39,39,This charity donates money to Asian areas with famine.,Some people western india were helped.,Famine occurs mainly in western countries.,0.03477747324294414,0.03785441380224257,0.0388214351644558
40,40,The state began to crack down on competitive economic activities in an all-round way.,The state has launched a policy of collusion.,Cooperation is the thallium of competitive economic activities.,0.03882666483606296,0.042079868068297686,0.05460656482674145
41,41,Tom improved his learning efficiency today.,He finished all his homework ahead of schedule.,Efficiency is the ability to complete homework on time.,0.025290376265732734,0.03906015509743294,0.034592178892571226
42,42,Tom wants to eat watermelon.,Tom cut the rind of the watermelon.,Melons have rinds.,0.153960343378905,0.2051405992319403,0.3013846205769939
43,43,Tom give the circuit voltage.,Tom has observed charge movement.,Charge depends on voltage.,0.024227973693144705,0.0217772362189522,0.030497176412398887
44,44,This child caught roseola.,The child had a fever which followed by a rash.,Roseola is a fever followed by a rash.,0.04023143974166516,0.034895717210687786,0.05384084636259281
45,45,A species gradually adapted to its environment.,This phenomenon is called speciation.,Speciation is the gradual adaptation of a species to environmental conditions.,0.015639407805369068,0.0044222325918203235,0.03615773242065343
46,46,Tom was studying how body temperature rises.,He found out that cytokines worked in it.,Cytokines act as antioxidants as body temperature rises.,0.03720956622876639,0.03193449307113436,0.04881478567878228
47,47,Now it's time to remove the drugs from the patient's body.,Various elimination processes was adopted to achieve that.,Elimination uses various processes.,0.024550845044450497,0.023399540241436645,0.02908829319552597
48,48,He successfully solved the problem.,He has a clear understanding of this problem.,Success provides overviews.,0.016183855272470724,0.018439677692137287,0.018457938614615855
49,49,The villagers were happy about the harvest.,They had enough food this year.,Harvest mean harvesting of the food.,0.005974623104841864,0.007597277783966058,0.008615563323144662
50,50,The lecturer is talking about t lymphocytes.,I can hear t-cells sometimes.,T-cells are also t lymphocytes.,0.005311465456612885,0.0040254681261223686,0.0040422157395874495
51,51,The scientist put some pyridine in the water.,He found the pyridine disappeared.,Pyridine dissolves in water.,0.03983628156554978,0.032398380547256224,0.0575295124180149
52,52,Amy served as an assistant in this company.,Amy is good at services work.,Assistants specialize in services.,0.009389513344244293,0.005521831050085843,0.01604225845888783
53,53,Virus attacked the mosquitoes.,Human might get infected owing to sick mosquitoes.,Mosquitoes carry viruses.,0.11439983840030742,0.17372180783071436,0.1400930714561147
54,54,Henry always runs into hindrances in doing business.,It is difficult for him to get mind equilibrium now.,Hindrances disrupt mind equilibrium.,0.015591848076705673,0.007482031550099926,0.008206389544100343
